round,phase,stock,total_extraction,collapsed,extract_agent_1,extract_agent_2,extract_agent_3,extract_agent_4,sanction_agent_1,sanction_agent_2,sanction_agent_3,sanction_agent_4
1,no_enforcement,99.01401201851135,20.98598798148865,False,1.5697558891348633,1.998460717626935,8.627874961166697,8.789896413560152,0.0,0.0,0.0,0.0
2,no_enforcement,93.39682204036194,23.115488676625034,False,1.9304814348512127,2.283802326644341,9.158766092132595,9.742438822996885,0.0,0.0,0.0,0.0
3,no_enforcement,88.97036584308142,21.85015276873888,False,1.8059533737978046,2.3583236227913873,8.500724696178569,9.18515107597112,0.0,0.0,0.0,0.0
4,no_enforcement,84.25802895866684,21.99944443255252,False,2.0133013922412872,1.968594323976458,8.521182168000745,9.496366548334029,0.0,0.0,0.0,0.0
5,no_enforcement,78.47932148964496,22.84504057755608,False,1.5510944698994993,2.4271468477369913,9.11297131069945,9.75382794922014,0.0,0.0,0.0,0.0
6,no_enforcement,72.32473978295205,22.84408740048731,False,2.1110123233340534,1.7842345540541644,9.758415015419992,9.1904255076791,0.0,0.0,0.0,0.0
7,no_enforcement,65.46067284542801,23.023706888381746,False,2.182387091954921,1.8680742119979596,9.198555847175937,9.774689737252928,0.0,0.0,0.0,0.0
8,no_enforcement,58.054899705285436,22.818084179634102,False,1.8981423541303601,2.1490917967977876,9.497270343302933,9.273579685403021,0.0,0.0,0.0,0.0
9,no_enforcement,50.02134605239321,22.454618635108304,False,1.8340843836897376,2.4908964640605027,8.51983347876563,9.609804308592434,0.0,0.0,0.0,0.0
10,no_enforcement,38.95368874483711,24.196392069330496,False,2.495232668256703,2.1698758140452625,9.771999406963625,9.759284180064906,0.0,0.0,0.0,0.0
11,enforcement_active,41.142128115570294,8.789919423007914,False,2.2775197351676715,1.5887055808030461,2.4743373803444637,2.4493567266927334,0.555039470335343,0.0,0.9486747606889274,0.8987134533854668
12,enforcement_active,43.21804720954775,9.361645011185644,False,2.215100428201122,2.3644275889818323,2.4234766087317965,2.358640385270893,0.43020085640224437,0.7288551779636645,0.846953217463593,0.7172807705417856
